data,dia_semana
2020-10-24,Sábado
2020-10-25,Domingo
2020-10-26,Segunda-Feira
2020-10-27,Terça-Feira
2020-10-28,Quarta-Feira
2020-10-29,Quinta-Feira
2020-10-30,Sexta-Feira
2020-10-31,Sábado
2020-11-01,Domingo
2020-11-02,Segunda-Feira
2020-11-03,Terça-Feira
2020-11-04,Quarta-Feira
2020-11-05,Quinta-Feira
2020-11-06,Sexta-Feira
2020-11-07,Sábado
2020-11-08,Domingo
2020-11-09,Segunda-Feira
2020-11-10,Terça-Feira
2020-11-11,Quarta-Feira
2020-11-12,Quinta-Feira
2020-11-13,Sexta-Feira
2020-11-14,Sábado
2020-11-15,Domingo
2020-11-16,Segunda-Feira
2020-11-17,Terça-Feira
2020-11-18,Quarta-Feira
2020-11-19,Quinta-Feira
2020-11-20,Sexta-Feira
2020-11-21,Sábado
2020-11-22,Domingo
2020-11-23,Segunda-Feira
2020-11-24,Terça-Feira
2020-11-25,Quarta-Feira
2020-11-26,Quinta-Feira
2020-11-27,Sexta-Feira
2020-11-28,Sábado
2020-11-29,Domingo
2020-11-30,Segunda-Feira
2020-12-01,Terça-Feira
2020-12-02,Quarta-Feira
2020-12-03,Quinta-Feira
2020-12-04,Sexta-Feira
2020-12-05,Sábado
2020-12-06,Domingo
2020-12-07,Segunda-Feira
2020-12-08,Terça-Feira
2020-12-09,Quarta-Feira
2020-12-10,Quinta-Feira
2020-12-11,Sexta-Feira
2020-12-12,Sábado
2020-12-13,Domingo
2020-12-14,Segunda-Feira
2020-12-15,Terça-Feira
2020-12-16,Quarta-Feira
2020-12-17,Quinta-Feira
2020-12-18,Sexta-Feira
2020-12-19,Sábado
2020-12-20,Domingo
2020-12-21,Segunda-Feira
2020-12-22,Terça-Feira
2020-12-23,Quarta-Feira
2020-12-24,Quinta-Feira
2020-12-25,Sexta-Feira
2020-12-26,Sábado
2020-12-27,Domingo
2020-12-28,Segunda-Feira
2020-12-29,Terça-Feira
2020-12-30,Quarta-Feira
2020-12-31,Quinta-Feira
2021-01-01,Sexta-Feira
2021-01-02,Sábado
2021-01-03,Domingo
2021-01-04,Segunda-Feira
2021-01-05,Terça-Feira
2021-01-06,Quarta-Feira
2021-01-07,Quinta-Feira
2021-01-08,Sexta-Feira
2021-01-09,Sábado
2021-01-10,Domingo
2021-01-11,Segunda-Feira
2021-01-12,Terça-Feira
2021-01-13,Quarta-Feira
2021-01-14,Quinta-Feira
2021-01-15,Sexta-Feira
2021-01-16,Sábado
2021-01-17,Domingo
2021-01-18,Segunda-Feira
2021-01-19,Terça-Feira
2021-01-20,Quarta-Feira
2021-01-21,Quinta-Feira
2021-01-22,Sexta-Feira
2021-01-23,Sábado
2021-01-24,Domingo
2021-01-25,Segunda-Feira
2021-01-26,Terça-Feira
2021-01-27,Quarta-Feira
2021-01-28,Quinta-Feira
2021-01-29,Sexta-Feira
2021-01-30,Sábado
2021-01-31,Domingo
2021-02-01,Segunda-Feira
2021-02-02,Terça-Feira
2021-02-03,Quarta-Feira
2021-02-04,Quinta-Feira
2021-02-05,Sexta-Feira
2021-02-06,Sábado
2021-02-07,Domingo
2021-02-08,Segunda-Feira
2021-02-09,Terça-Feira
2021-02-10,Quarta-Feira
2021-02-11,Quinta-Feira
2021-02-12,Sexta-Feira
2021-02-13,Sábado
2021-02-14,Domingo
2021-02-15,Segunda-Feira
2021-02-16,Terça-Feira
2021-02-17,Quarta-Feira
2021-02-18,Quinta-Feira
2021-02-19,Sexta-Feira
2021-02-20,Sábado
2021-02-21,Domingo
2021-02-22,Segunda-Feira
2021-02-23,Terça-Feira
2021-02-24,Quarta-Feira
2021-02-25,Quinta-Feira
2021-02-26,Sexta-Feira
2021-02-27,Sábado
2021-02-28,Domingo
2021-03-01,Segunda-Feira
2021-03-02,Terça-Feira
2021-03-03,Quarta-Feira
2021-03-04,Quinta-Feira
2021-03-05,Sexta-Feira
2021-03-06,Sábado
2021-03-07,Domingo
2021-03-08,Segunda-Feira
2021-03-09,Terça-Feira
2021-03-10,Quarta-Feira
2021-03-11,Quinta-Feira
2021-03-12,Sexta-Feira
2021-03-13,Sábado
2021-03-14,Domingo
2021-03-15,Segunda-Feira
2021-03-16,Terça-Feira
2021-03-17,Quarta-Feira
2021-03-18,Quinta-Feira
2021-03-19,Sexta-Feira
2021-03-20,Sábado
2021-03-21,Domingo
2021-03-22,Segunda-Feira
2021-03-23,Terça-Feira
2021-03-24,Quarta-Feira
2021-03-25,Quinta-Feira
2021-03-26,Sexta-Feira
2021-03-27,Sábado
2021-03-28,Domingo
2021-03-29,Segunda-Feira
2021-03-30,Terça-Feira
2021-03-31,Quarta-Feira
2021-04-01,Quinta-Feira
2021-04-02,Sexta-Feira
2021-04-03,Sábado
2021-04-04,Domingo
2021-04-05,Segunda-Feira
2021-04-06,Terça-Feira
2021-04-07,Quarta-Feira
2021-04-08,Quinta-Feira
2021-04-09,Sexta-Feira
2021-04-10,Sábado
2021-04-11,Domingo
2021-04-12,Segunda-Feira
2021-04-13,Terça-Feira
2021-04-14,Quarta-Feira
2021-04-15,Quinta-Feira
2021-04-16,Sexta-Feira
2021-04-17,Sábado
2021-04-18,Domingo
2021-04-19,Segunda-Feira
2021-04-20,Terça-Feira
2021-04-21,Quarta-Feira
2021-04-22,Quinta-Feira
2021-04-23,Sexta-Feira
2021-04-24,Sábado
2021-04-25,Domingo
2021-04-26,Segunda-Feira
2021-04-27,Terça-Feira
2021-04-28,Quarta-Feira
2021-04-29,Quinta-Feira
2021-04-30,Sexta-Feira
2021-05-01,Sábado
2021-05-02,Domingo
2021-05-03,Segunda-Feira
2021-05-04,Terça-Feira
2021-05-05,Quarta-Feira
2021-05-06,Quinta-Feira
2021-05-07,Sexta-Feira
2021-05-08,Sábado
2021-05-09,Domingo
2021-05-10,Segunda-Feira
2021-05-11,Terça-Feira
2021-05-12,Quarta-Feira
2021-05-13,Quinta-Feira
2021-05-14,Sexta-Feira
2021-05-15,Sábado
2021-05-16,Domingo
2021-05-17,Segunda-Feira
2021-05-18,Terça-Feira
2021-05-19,Quarta-Feira
2021-05-20,Quinta-Feira
2021-05-21,Sexta-Feira
2021-05-22,Sábado
2021-05-23,Domingo
2021-05-24,Segunda-Feira
2021-05-25,Terça-Feira
2021-05-26,Quarta-Feira
2021-05-27,Quinta-Feira
2021-05-28,Sexta-Feira
2021-05-29,Sábado
2021-05-30,Domingo
2021-05-31,Segunda-Feira
2021-06-01,Terça-Feira
2021-06-02,Quarta-Feira
2021-06-03,Quinta-Feira
2021-06-04,Sexta-Feira
2021-06-05,Sábado
2021-06-06,Domingo
2021-06-07,Segunda-Feira
2021-06-08,Terça-Feira
2021-06-09,Quarta-Feira
2021-06-10,Quinta-Feira
2021-06-11,Sexta-Feira
2021-06-12,Sábado
2021-06-13,Domingo
2021-06-14,Segunda-Feira
2021-06-15,Terça-Feira
2021-06-16,Quarta-Feira
2021-06-17,Quinta-Feira
2021-06-18,Sexta-Feira
2021-06-19,Sábado
2021-06-20,Domingo
2021-06-21,Segunda-Feira
2021-06-22,Terça-Feira
2021-06-23,Quarta-Feira
2021-06-24,Quinta-Feira
2021-06-25,Sexta-Feira
2021-06-26,Sábado
2021-06-27,Domingo
2021-06-28,Segunda-Feira
2021-06-29,Terça-Feira
2021-06-30,Quarta-Feira
2021-07-01,Quinta-Feira
2021-07-02,Sexta-Feira
2021-07-03,Sábado
2021-07-04,Domingo
2021-07-05,Segunda-Feira
2021-07-06,Terça-Feira
2021-07-07,Quarta-Feira
2021-07-08,Quinta-Feira
2021-07-09,Sexta-Feira
2021-07-10,Sábado
2021-07-11,Domingo
2021-07-12,Segunda-Feira
2021-07-13,Terça-Feira
2021-07-14,Quarta-Feira
2021-07-15,Quinta-Feira
2021-07-16,Sexta-Feira
2021-07-17,Sábado
2021-07-18,Domingo
2021-07-19,Segunda-Feira
2021-07-20,Terça-Feira
2021-07-21,Quarta-Feira
2021-07-22,Quinta-Feira
2021-07-23,Sexta-Feira
2021-07-24,Sábado
2021-07-25,Domingo
2021-07-26,Segunda-Feira
2021-07-27,Terça-Feira
2021-07-28,Quarta-Feira
2021-07-29,Quinta-Feira
2021-07-30,Sexta-Feira
2021-07-31,Sábado
2021-08-01,Domingo
2021-08-02,Segunda-Feira
2021-08-03,Terça-Feira
2021-08-04,Quarta-Feira
2021-08-05,Quinta-Feira
2021-08-06,Sexta-Feira
2021-08-07,Sábado
2021-08-08,Domingo
2021-08-09,Segunda-Feira
2021-08-10,Terça-Feira
2021-08-11,Quarta-Feira
2021-08-12,Quinta-Feira
2021-08-13,Sexta-Feira
2021-08-14,Sábado
2021-08-15,Domingo
2021-08-16,Segunda-Feira
2021-08-17,Terça-Feira
2021-08-18,Quarta-Feira
2021-08-19,Quinta-Feira
2021-08-20,Sexta-Feira
2021-08-21,Sábado
2021-08-22,Domingo
2021-08-23,Segunda-Feira
2021-08-24,Terça-Feira
2021-08-25,Quarta-Feira
2021-08-26,Quinta-Feira
2021-08-27,Sexta-Feira
2021-08-28,Sábado
2021-08-29,Domingo
2021-08-30,Segunda-Feira
2021-08-31,Terça-Feira
2021-09-01,Quarta-Feira
2021-09-02,Quinta-Feira
2021-09-03,Sexta-Feira
2021-09-04,Sábado
2021-09-05,Domingo
2021-09-06,Segunda-Feira
2021-09-07,Terça-Feira
2021-09-08,Quarta-Feira
2021-09-09,Quinta-Feira
2021-09-10,Sexta-Feira
2021-09-11,Sábado
2021-09-12,Domingo
2021-09-13,Segunda-Feira
2021-09-14,Terça-Feira
2021-09-15,Quarta-Feira
2021-09-16,Quinta-Feira
2021-09-17,Sexta-Feira
2021-09-18,Sábado
2021-09-19,Domingo
2021-09-20,Segunda-Feira
2021-09-21,Terça-Feira
2021-09-22,Quarta-Feira
2021-09-23,Quinta-Feira
2021-09-24,Sexta-Feira
2021-09-25,Sábado
2021-09-26,Domingo
2021-09-27,Segunda-Feira
2021-09-28,Terça-Feira
2021-09-29,Quarta-Feira
2021-09-30,Quinta-Feira
2021-10-01,Sexta-Feira
2021-10-02,Sábado
2021-10-03,Domingo
2021-10-04,Segunda-Feira
2021-10-05,Terça-Feira
2021-10-06,Quarta-Feira
2021-10-07,Quinta-Feira
2021-10-08,Sexta-Feira
2021-10-09,Sábado
2021-10-10,Domingo
2021-10-11,Segunda-Feira
2021-10-12,Terça-Feira
2021-10-13,Quarta-Feira
2021-10-14,Quinta-Feira
2021-10-15,Sexta-Feira
2021-10-16,Sábado
2021-10-17,Domingo
2021-10-18,Segunda-Feira
2021-10-19,Terça-Feira
2021-10-20,Quarta-Feira
2021-10-21,Quinta-Feira
2021-10-22,Sexta-Feira
2021-10-23,Sábado
2021-10-24,Domingo
2021-10-25,Segunda-Feira
2021-10-26,Terça-Feira
2021-10-27,Quarta-Feira
2021-10-28,Quinta-Feira
2021-10-29,Sexta-Feira
2021-10-30,Sábado
2021-10-31,Domingo
2021-11-01,Segunda-Feira
2021-11-02,Terça-Feira
2021-11-03,Quarta-Feira
2021-11-04,Quinta-Feira
2021-11-05,Sexta-Feira
2021-11-06,Sábado
2021-11-07,Domingo
2021-11-08,Segunda-Feira
2021-11-09,Terça-Feira
2021-11-10,Quarta-Feira
2021-11-11,Quinta-Feira
2021-11-12,Sexta-Feira
2021-11-13,Sábado
2021-11-14,Domingo
2021-11-15,Segunda-Feira
2021-11-16,Terça-Feira
2021-11-17,Quarta-Feira
2021-11-18,Quinta-Feira
2021-11-19,Sexta-Feira
2021-11-20,Sábado
2021-11-21,Domingo
2021-11-22,Segunda-Feira
2021-11-23,Terça-Feira
2021-11-24,Quarta-Feira
2021-11-25,Quinta-Feira
2021-11-26,Sexta-Feira
2021-11-27,Sábado
2021-11-28,Domingo
2021-11-29,Segunda-Feira
2021-11-30,Terça-Feira
2021-12-01,Quarta-Feira
2021-12-02,Quinta-Feira
2021-12-03,Sexta-Feira
2021-12-04,Sábado
2021-12-05,Domingo
2021-12-06,Segunda-Feira
2021-12-07,Terça-Feira
2021-12-08,Quarta-Feira
2021-12-09,Quinta-Feira
2021-12-10,Sexta-Feira
2021-12-11,Sábado
2021-12-12,Domingo
2021-12-13,Segunda-Feira
2021-12-14,Terça-Feira
2021-12-15,Quarta-Feira
2021-12-16,Quinta-Feira
2021-12-17,Sexta-Feira
2021-12-18,Sábado
2021-12-19,Domingo
2021-12-20,Segunda-Feira
2021-12-21,Terça-Feira
2021-12-22,Quarta-Feira
2021-12-23,Quinta-Feira
2021-12-24,Sexta-Feira
2021-12-25,Sábado
2021-12-26,Domingo
2021-12-27,Segunda-Feira
2021-12-28,Terça-Feira
2021-12-29,Quarta-Feira
2021-12-30,Quinta-Feira
2021-12-31,Sexta-Feira
2022-01-01,Sábado
2022-01-02,Domingo
2022-01-03,Segunda-Feira
2022-01-04,Terça-Feira
2022-01-05,Quarta-Feira
2022-01-06,Quinta-Feira
2022-01-07,Sexta-Feira
2022-01-08,Sábado
2022-01-09,Domingo
2022-01-10,Segunda-Feira
2022-01-11,Terça-Feira
2022-01-12,Quarta-Feira
2022-01-13,Quinta-Feira
2022-01-14,Sexta-Feira
2022-01-15,Sábado
2022-01-16,Domingo
2022-01-17,Segunda-Feira
2022-01-18,Terça-Feira
2022-01-19,Quarta-Feira
2022-01-20,Quinta-Feira
2022-01-21,Sexta-Feira
2022-01-22,Sábado
2022-01-23,Domingo
2022-01-24,Segunda-Feira
2022-01-25,Terça-Feira
2022-01-26,Quarta-Feira
2022-01-27,Quinta-Feira
2022-01-28,Sexta-Feira
2022-01-29,Sábado
2022-01-30,Domingo
2022-01-31,Segunda-Feira
2022-02-01,Terça-Feira
2022-02-02,Quarta-Feira
2022-02-03,Quinta-Feira
2022-02-04,Sexta-Feira
2022-02-05,Sábado
2022-02-06,Domingo
2022-02-07,Segunda-Feira
2022-02-08,Terça-Feira
2022-02-09,Quarta-Feira
2022-02-10,Quinta-Feira
2022-02-11,Sexta-Feira
2022-02-12,Sábado
2022-02-13,Domingo
2022-02-14,Segunda-Feira
2022-02-15,Terça-Feira
2022-02-16,Quarta-Feira
2022-02-17,Quinta-Feira
2022-02-18,Sexta-Feira
2022-02-19,Sábado
2022-02-20,Domingo
2022-02-21,Segunda-Feira
2022-02-22,Terça-Feira
2022-02-23,Quarta-Feira
2022-02-24,Quinta-Feira
2022-02-25,Sexta-Feira
2022-02-26,Sábado
2022-02-27,Domingo
2022-02-28,Segunda-Feira
2022-03-01,Terça-Feira
2022-03-02,Quarta-Feira
2022-03-03,Quinta-Feira
2022-03-04,Sexta-Feira
2022-03-05,Sábado
2022-03-06,Domingo
2022-03-07,Segunda-Feira
2022-03-08,Terça-Feira
2022-03-09,Quarta-Feira
2022-03-10,Quinta-Feira
2022-03-11,Sexta-Feira
2022-03-12,Sábado
2022-03-13,Domingo
2022-03-14,Segunda-Feira
2022-03-15,Terça-Feira
2022-03-16,Quarta-Feira
2022-03-17,Quinta-Feira
2022-03-18,Sexta-Feira
2022-03-19,Sábado
2022-03-20,Domingo
2022-03-21,Segunda-Feira
2022-03-22,Terça-Feira
2022-03-23,Quarta-Feira
2022-03-24,Quinta-Feira
2022-03-25,Sexta-Feira
2022-03-26,Sábado
2022-03-27,Domingo
2022-03-28,Segunda-Feira
2022-03-29,Terça-Feira
2022-03-30,Quarta-Feira
2022-03-31,Quinta-Feira
2022-04-01,Sexta-Feira
2022-04-02,Sábado
2022-04-03,Domingo
2022-04-04,Segunda-Feira
2022-04-05,Terça-Feira
2022-04-06,Quarta-Feira
2022-04-07,Quinta-Feira
2022-04-08,Sexta-Feira
2022-04-09,Sábado
2022-04-10,Domingo
2022-04-11,Segunda-Feira
2022-04-12,Terça-Feira
2022-04-13,Quarta-Feira
2022-04-14,Quinta-Feira
2022-04-15,Sexta-Feira
2022-04-16,Sábado
2022-04-17,Domingo
2022-04-18,Segunda-Feira
2022-04-19,Terça-Feira
2022-04-20,Quarta-Feira
2022-04-21,Quinta-Feira
2022-04-22,Sexta-Feira
2022-04-23,Sábado
2022-04-24,Domingo
2022-04-25,Segunda-Feira
2022-04-26,Terça-Feira
2022-04-27,Quarta-Feira
2022-04-28,Quinta-Feira
2022-04-29,Sexta-Feira
2022-04-30,Sábado
2022-05-01,Domingo
2022-05-02,Segunda-Feira
2022-05-03,Terça-Feira
2022-05-04,Quarta-Feira
2022-05-05,Quinta-Feira
2022-05-06,Sexta-Feira
2022-05-07,Sábado
2022-05-08,Domingo
2022-05-09,Segunda-Feira
2022-05-10,Terça-Feira
2022-05-11,Quarta-Feira
2022-05-12,Quinta-Feira
2022-05-13,Sexta-Feira
2022-05-14,Sábado
2022-05-15,Domingo
2022-05-16,Segunda-Feira
2022-05-17,Terça-Feira
2022-05-18,Quarta-Feira
2022-05-19,Quinta-Feira
2022-05-20,Sexta-Feira
2022-05-21,Sábado
2022-05-22,Domingo
2022-05-23,Segunda-Feira
2022-05-24,Terça-Feira
2022-05-25,Quarta-Feira
2022-05-26,Quinta-Feira
2022-05-27,Sexta-Feira
2022-05-28,Sábado
2022-05-29,Domingo
2022-05-30,Segunda-Feira
2022-05-31,Terça-Feira
2022-06-01,Quarta-Feira
2022-06-02,Quinta-Feira
2022-06-03,Sexta-Feira
2022-06-04,Sábado
2022-06-05,Domingo
2022-06-06,Segunda-Feira
2022-06-07,Terça-Feira
2022-06-08,Quarta-Feira
2022-06-09,Quinta-Feira
2022-06-10,Sexta-Feira
2022-06-11,Sábado
2022-06-12,Domingo
2022-06-13,Segunda-Feira
2022-06-14,Terça-Feira
2022-06-15,Quarta-Feira
2022-06-16,Quinta-Feira
2022-06-17,Sexta-Feira
2022-06-18,Sábado
2022-06-19,Domingo
2022-06-20,Segunda-Feira
2022-06-21,Terça-Feira
2022-06-22,Quarta-Feira
2022-06-23,Quinta-Feira
2022-06-24,Sexta-Feira
2022-06-25,Sábado
2022-06-26,Domingo
2022-06-27,Segunda-Feira
2022-06-28,Terça-Feira
2022-06-29,Quarta-Feira
2022-06-30,Quinta-Feira
2022-07-01,Sexta-Feira
2022-07-02,Sábado
2022-07-03,Domingo
2022-07-04,Segunda-Feira
2022-07-05,Terça-Feira
2022-07-06,Quarta-Feira
2022-07-07,Quinta-Feira
2022-07-08,Sexta-Feira
2022-07-09,Sábado
2022-07-10,Domingo
2022-07-11,Segunda-Feira
2022-07-12,Terça-Feira
2022-07-13,Quarta-Feira
2022-07-14,Quinta-Feira
2022-07-15,Sexta-Feira
2022-07-16,Sábado
2022-07-17,Domingo
2022-07-18,Segunda-Feira
2022-07-19,Terça-Feira
2022-07-20,Quarta-Feira
2022-07-21,Quinta-Feira
2022-07-22,Sexta-Feira
2022-07-23,Sábado
2022-07-24,Domingo
2022-07-25,Segunda-Feira
2022-07-26,Terça-Feira
2022-07-27,Quarta-Feira
2022-07-28,Quinta-Feira
2022-07-29,Sexta-Feira
2022-07-30,Sábado
2022-07-31,Domingo
2022-08-01,Segunda-Feira
2022-08-02,Terça-Feira
2022-08-03,Quarta-Feira
2022-08-04,Quinta-Feira
2022-08-05,Sexta-Feira
2022-08-06,Sábado
2022-08-07,Domingo
